Listes candidates,Couleur
'EUROPE EQUITABLE',Centriste et Liberaux
temps_president',Centriste et Liberaux
ALLIANCE CENTRISTE ET TERRITOIRES EN MOUVEMENT,Les conservateurs
ALLIANCE RURALE,Autres
BESOIN D?EUROPE,Centriste et Liberaux
CHANGER L?EUROPE,Sociaux Democrate
DEFENDRE LES ENFANTS,Autres
DEMOCRATIE REPRESENTATIVE,Autres
ÉCOLOGIE AU CENTRE,Ecologiste et Regionaliste
ECOLOGIE POSITIVE ET TERRITOIRES,Ecologiste et Regionaliste
ÉQUINOXE: ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE,Ecologiste et Regionaliste
ESPERANTO LANGUE COMMUNE,Autres
EUROPE ECOLOGIE,Ecologiste et Regionaliste
EUROPE TERRITOIRES ÉCOLOGIE,Sociaux Democrate
FORTERESSE EUROPE - LISTE D?UNITE NATIONALISTE,Extrême droite - Divers
FRANCE LIBRE,Extrême droite - Divers
FREE PALESTINE,Autres
GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL,gauche radicale
L?EUROPE ÇA SUFFIT!,Extrême droite - Divers
LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,Les conservateurs
"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",Extrême droite - ECR
LA FRANCE INSOUMISE - UNION POPULAIRE,gauche radicale
LA FRANCE REVIENT! AVEC JORDAN BARDELLA ET MARINE LE PEN,Extrême droite - ID
LA RUCHE CITOYENNE,Autres
LIBERTE DEMOCRATIQUE FRANCAISE,Autres
"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D?ACHAT ET POUR LA PAIX",Autres
LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS,gauche radicale
"NON A L?UE ET A L?OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL",gauche radicale
NON! PRENONS-NOUS EN MAINS,Extrême droite - Divers
NOUS LE PEUPLE,Autres
"PACE - PARTI DES CITOYENS EUROPEENS, POUR L?ARMEE EUROPEENNE, POUR L?EUROPE SOCIALE, POUR LA PLANETE!",Sociaux Democrate
PAIX ET DECROISSANCE,Autres
"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI",Autres
PARTI PIRATE,Autres
PARTI REVOLUTIONNAIRE COMMUNISTES,gauche radicale
"POUR LE PAIN, LA PAIX, LA LIBERTE!? PRESENTEE PAR LE PARTI DES TRAVAILLEURS",gauche radicale
"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION!",gauche radicale
POUR UNE AUTRE EUROPE,Autres
POUR UNE DEMOCRATIE REELLE: DECIDONS NOUS-MEMES!,Autres
POUR UNE HUMANITE SOUVERAINE,Autres
REVEILLER L?EUROPE,Sociaux Democrate
UNION DES CENTRISTES ET DES ECOLOGISTES,
