 Nom du media,proprio du media
BFMBusiness,Altice
BFMTV,Altice
C8,canal+
Cnews,canal+
Euronews,"Consortium de médias européens, avec NBC News comme actionnaire majoritaire"
Europe1,Groupe Lagardère
France2,France Télévisions
France3,France Télévisions
France5,France Télévisions
FranceCulture,Groupe Radio France
FranceInfo,Groupe Radio France
FranceInter,Groupe Radio France
LCI,Groupe TF1
M6,Groupe M6
RFI,France media Monde
RMC-Story,Altice
RMC,Altice
RMCdecouverte,Altice
RTL,Groupe M6
RadioClassique,Groupe Les Echos-Le Parisien
Sudradio,Groupe Fiducial Média
TF1,Groupe TF1
TMC,Groupe TF1
TV5Monde,France Télévisions
France info TV,France Télévisions
